Temperature,pH,Time
22.63,6.66,8/12/2024 20:13
22.63,6.68,8/12/2024 20:14
22.69,6.7,8/12/2024 20:14
22.63,6.68,8/12/2024 20:15
22.63,6.68,8/12/2024 20:16
22.63,6.71,8/12/2024 20:17
22.56,6.68,8/12/2024 20:18
22.56,6.68,8/12/2024 20:18
22.56,6.66,8/12/2024 20:19
22.63,6.66,8/12/2024 20:20
22.56,6.67,8/12/2024 20:21
22.56,6.66,8/12/2024 20:22
22.56,6.7,8/12/2024 20:23
22.56,6.71,8/12/2024 20:23
22.56,6.66,8/12/2024 20:24
22.56,6.66,8/12/2024 20:25
22.56,6.7,8/12/2024 20:26
22.56,6.68,8/12/2024 20:27
22.56,6.68,8/12/2024 20:27
22.56,6.66,8/12/2024 20:28
22.56,6.66,8/12/2024 20:29
22.56,6.68,8/12/2024 20:30
22.56,6.68,8/12/2024 20:31
22.56,6.68,8/12/2024 20:31
22.56,6.68,8/12/2024 20:32
22.5,6.68,8/12/2024 20:33
22.5,6.67,8/12/2024 20:34
22.5,6.68,8/12/2024 20:35
22.56,6.7,8/12/2024 20:36
22.5,6.7,8/12/2024 20:36
22.5,6.68,8/12/2024 20:37
22.56,6.68,8/12/2024 20:38
22.5,6.67,8/12/2024 20:39
22.5,6.68,8/12/2024 20:40
22.56,6.68,8/12/2024 20:40
22.56,6.7,8/12/2024 20:41
22.5,6.7,8/12/2024 20:42
22.56,6.68,8/12/2024 20:43
22.56,6.66,8/12/2024 20:44
22.5,6.7,8/12/2024 20:45
22.5,6.7,8/12/2024 20:45
22.5,6.7,8/12/2024 20:46
22.5,6.7,8/12/2024 20:47
22.5,6.68,8/12/2024 20:48
22.5,6.71,8/12/2024 20:49
22.5,6.66,8/12/2024 20:49
22.5,6.7,8/12/2024 20:50
22.5,6.66,8/12/2024 20:51
22.5,6.66,8/12/2024 20:52
22.5,6.68,8/12/2024 20:53
22.5,6.68,8/12/2024 20:53
22.44,6.68,8/12/2024 20:54
22.44,6.66,8/12/2024 20:55
22.5,6.66,8/12/2024 20:56
22.44,6.66,8/12/2024 20:57
22.5,6.66,8/12/2024 20:58
22.44,6.66,8/12/2024 20:58
22.5,6.68,8/12/2024 20:59
22.5,6.68,8/12/2024 21:00
22.44,6.66,8/12/2024 21:01
22.5,6.68,8/12/2024 21:02
22.44,6.68,8/12/2024 21:02
22.44,6.66,8/12/2024 21:03
22.44,6.7,8/12/2024 21:04
22.44,6.67,8/12/2024 21:05
22.44,6.66,8/12/2024 21:06
22.44,6.67,8/12/2024 21:06
22.44,6.67,8/12/2024 21:07
22.44,6.66,8/12/2024 21:08
22.44,6.68,8/12/2024 21:09
22.38,6.68,8/12/2024 21:10
22.44,6.66,8/12/2024 21:11
22.38,6.66,8/12/2024 21:11
22.44,6.66,8/12/2024 21:12
22.44,6.68,8/12/2024 21:13
22.38,6.68,8/12/2024 21:14
22.44,6.66,8/12/2024 21:15
22.38,6.68,8/12/2024 21:15
22.38,6.66,8/12/2024 21:16
22.38,6.68,8/12/2024 21:17
22.44,6.68,8/12/2024 21:18
22.38,6.68,8/12/2024 21:19
22.38,6.68,8/12/2024 21:20
22.38,6.66,8/12/2024 21:20
22.38,6.66,8/12/2024 21:21
22.38,6.66,8/12/2024 21:22
22.38,6.66,8/12/2024 21:23
22.38,6.66,8/12/2024 21:24
22.38,6.66,8/12/2024 21:25
22.38,6.68,8/12/2024 21:25
22.31,6.66,8/12/2024 21:26
22.38,6.67,8/12/2024 21:27
22.31,6.66,8/12/2024 21:28
22.31,6.66,8/12/2024 21:29
22.38,6.68,8/12/2024 21:29
22.31,6.66,8/12/2024 21:30
22.31,6.68,8/12/2024 21:31
22.38,6.66,8/12/2024 21:32
22.38,6.68,8/12/2024 21:33
22.38,6.66,8/12/2024 21:33
22.38,6.67,8/12/2024 21:34
22.38,6.65,8/12/2024 21:35
22.38,6.66,8/12/2024 21:36
22.38,6.68,8/12/2024 21:37
22.38,6.67,8/12/2024 21:38
22.31,6.66,8/12/2024 21:38
22.38,6.67,8/12/2024 21:39
22.31,6.66,8/12/2024 21:40
22.31,6.67,8/12/2024 21:41
22.31,6.67,8/12/2024 21:42
22.31,6.66,8/12/2024 21:42
22.31,6.66,8/12/2024 21:43
22.31,6.68,8/12/2024 21:44
22.31,6.66,8/12/2024 21:45
22.31,6.66,8/12/2024 21:46
22.31,6.66,8/12/2024 21:46
22.25,6.66,8/12/2024 21:47
22.31,6.68,8/12/2024 21:48
22.31,6.67,8/12/2024 21:49
22.31,6.66,8/12/2024 21:50
22.25,6.66,8/12/2024 21:51
22.25,6.66,8/12/2024 21:51
22.25,6.66,8/12/2024 21:52
22.25,6.66,8/12/2024 21:53
22.25,6.66,8/12/2024 21:54
22.25,6.66,8/12/2024 21:55
22.31,6.66,8/12/2024 21:55
22.25,6.66,8/12/2024 21:56
22.31,6.66,8/12/2024 21:57
22.31,6.66,8/12/2024 21:58
22.31,6.66,8/12/2024 21:59
22.25,6.65,8/12/2024 22:00
22.25,6.66,8/12/2024 22:00
22.25,6.66,8/12/2024 22:01
22.25,6.66,8/12/2024 22:02
22.25,6.66,8/12/2024 22:03
22.25,6.65,8/12/2024 22:04
22.25,6.66,8/12/2024 22:04
22.19,6.66,8/12/2024 22:05
22.25,6.66,8/12/2024 22:06
22.25,6.65,8/12/2024 22:07
22.25,6.66,8/12/2024 22:08
22.19,6.65,8/12/2024 22:09
22.19,6.68,8/12/2024 22:09
22.19,6.68,8/12/2024 22:10
22.25,6.66,8/12/2024 22:11
22.19,6.66,8/12/2024 22:12
22.19,6.66,8/12/2024 22:13
22.19,6.64,8/12/2024 22:13
22.19,6.66,8/12/2024 22:14
22.19,6.66,8/12/2024 22:15
22.19,6.68,8/12/2024 22:16
22.19,6.66,8/12/2024 22:17
22.19,6.66,8/12/2024 22:18
22.19,6.66,8/12/2024 22:18
22.19,6.66,8/12/2024 22:19
22.19,6.66,8/12/2024 22:20
22.19,6.66,8/12/2024 22:21
22.19,6.66,8/12/2024 22:22
22.19,6.66,8/12/2024 22:22
22.19,6.66,8/12/2024 22:23
22.19,6.66,8/12/2024 22:24
22.19,6.66,8/12/2024 22:25
22.19,6.66,8/12/2024 22:26
22.13,6.66,8/12/2024 22:26
22.19,6.67,8/12/2024 22:27
22.19,6.66,8/12/2024 22:28
22.13,6.66,8/12/2024 22:29
22.19,6.66,8/12/2024 22:30
22.13,6.66,8/12/2024 22:31
22.13,6.65,8/12/2024 22:31
22.19,6.66,8/12/2024 22:32
22.13,6.66,8/12/2024 22:33
22.19,6.68,8/12/2024 22:34
22.19,6.66,8/12/2024 22:35
22.19,6.66,8/12/2024 22:35
22.13,6.68,8/12/2024 22:36
22.13,6.65,8/12/2024 22:37
22.13,6.66,8/12/2024 22:38
22.13,6.65,8/12/2024 22:39
22.13,6.66,8/12/2024 22:40
22.13,6.68,8/12/2024 22:40
22.13,6.66,8/12/2024 22:41
22.13,6.68,8/12/2024 22:42
22.13,6.66,8/12/2024 22:43
22.13,6.66,8/12/2024 22:44
22.13,6.68,8/12/2024 22:44
22.13,6.64,8/12/2024 22:45
22.13,6.68,8/12/2024 22:46
22.13,6.66,8/12/2024 22:47
22.13,6.66,8/12/2024 22:48
22.13,6.66,8/12/2024 22:48
22.13,6.66,8/12/2024 22:49
22.13,6.66,8/12/2024 22:50
22.13,6.66,8/12/2024 22:51
22.19,6.66,8/12/2024 22:52
22.06,6.66,8/12/2024 22:53
22.13,6.66,8/12/2024 22:53
22.13,6.66,8/12/2024 22:54
22.13,6.65,8/12/2024 22:55
22.06,6.65,8/12/2024 22:56
22.06,6.66,8/12/2024 22:57
22.06,6.66,8/12/2024 22:57
22.13,6.66,8/12/2024 22:58
22.13,6.66,8/12/2024 22:59
22.06,6.66,8/12/2024 23:00
22.06,6.66,8/12/2024 23:01
22.06,6.66,8/12/2024 23:01
22.06,6.65,8/12/2024 23:02
22.06,6.64,8/12/2024 23:03
22.06,6.65,8/12/2024 23:04
22.06,6.66,8/12/2024 23:05
22.06,6.65,8/12/2024 23:06
22.06,6.66,8/12/2024 23:06
22,6.66,8/12/2024 23:07
22,6.65,8/12/2024 23:08
22.06,6.66,8/12/2024 23:09
22.06,6.66,8/12/2024 23:10
22,6.66,8/12/2024 23:10
22.06,6.65,8/12/2024 23:11
22.06,6.66,8/12/2024 23:12
22.06,6.66,8/12/2024 23:13
22,6.65,8/12/2024 23:14
22,6.66,8/12/2024 23:15
22.06,6.66,8/12/2024 23:15
22.06,6.66,8/12/2024 23:16
22,6.66,8/12/2024 23:17
22,6.64,8/12/2024 23:18
22.06,6.66,8/12/2024 23:19
22,6.66,8/12/2024 23:19
22,6.66,8/12/2024 23:20
22,6.65,8/12/2024 23:21
22,6.65,8/12/2024 23:22
22,6.65,8/12/2024 23:23
22,6.66,8/12/2024 23:23
22,6.65,8/12/2024 23:24
22,6.66,8/12/2024 23:25
21.94,6.66,8/12/2024 23:26
22,6.66,8/12/2024 23:27
22,6.65,8/12/2024 23:29
22,6.66,8/12/2024 23:29
22,6.66,8/12/2024 23:30
22,6.66,8/12/2024 23:31
22,6.66,8/12/2024 23:32
22,6.66,8/12/2024 23:33
22,6.66,8/12/2024 23:33
22,6.63,8/12/2024 23:34
22,6.65,8/12/2024 23:35
22,6.65,8/12/2024 23:36
22,6.65,8/12/2024 23:37
21.94,6.66,8/12/2024 23:37
21.94,6.64,8/12/2024 23:38
21.94,6.65,8/12/2024 23:39
21.94,6.66,8/12/2024 23:40
21.94,6.66,8/12/2024 23:41
21.94,6.64,8/12/2024 23:42
21.88,6.63,8/12/2024 23:42
21.94,6.65,8/12/2024 23:43
21.94,6.65,8/12/2024 23:44
21.88,6.66,8/12/2024 23:45
21.94,6.64,8/12/2024 23:46
21.94,6.65,8/12/2024 23:46
21.94,6.64,8/12/2024 23:47
21.94,6.65,8/12/2024 23:48
21.94,6.66,8/12/2024 23:49
21.94,6.65,8/12/2024 23:50
21.94,6.66,8/12/2024 23:50
21.94,6.66,8/12/2024 23:51
21.94,6.65,8/12/2024 23:52
22,6.65,8/12/2024 23:53
21.94,6.65,8/12/2024 23:54
21.94,6.65,8/12/2024 23:55
21.94,6.67,8/12/2024 23:55
21.94,6.65,8/12/2024 23:56
21.88,6.66,8/12/2024 23:57
21.94,6.66,8/12/2024 23:58
21.94,6.65,8/12/2024 23:59
21.88,6.66,8/12/2024 23:59
21.88,6.65,8/13/2024 0:01
21.88,6.63,8/13/2024 0:02
21.88,6.64,8/13/2024 0:02
21.88,6.64,8/13/2024 0:03
21.88,6.66,8/13/2024 0:04
21.81,6.66,8/13/2024 0:05
21.81,6.66,8/13/2024 0:06
21.81,6.66,8/13/2024 0:06
21.88,6.66,8/13/2024 0:07
21.88,6.66,8/13/2024 0:08
21.81,6.63,8/13/2024 0:09
21.81,6.64,8/13/2024 0:10
21.81,6.65,8/13/2024 0:11
21.81,6.65,8/13/2024 0:11
21.81,6.66,8/13/2024 0:12
21.81,6.62,8/13/2024 0:13
21.75,6.65,8/13/2024 0:14
21.81,6.65,8/13/2024 0:15
21.81,6.66,8/13/2024 0:15
21.81,6.66,8/13/2024 0:16
21.81,6.65,8/13/2024 0:17
21.81,6.66,8/13/2024 0:18
21.88,6.65,8/13/2024 0:19
21.81,6.65,8/13/2024 0:19
21.81,6.62,8/13/2024 0:20
21.81,6.65,8/13/2024 0:21
21.81,6.65,8/13/2024 0:22
21.81,6.65,8/13/2024 0:23
21.75,6.65,8/13/2024 0:24
21.81,6.66,8/13/2024 0:24
21.75,6.66,8/13/2024 0:25
21.75,6.64,8/13/2024 0:26
21.75,6.65,8/13/2024 0:27
21.75,6.65,8/13/2024 0:28
21.81,6.65,8/13/2024 0:28
21.75,6.64,8/13/2024 0:29
21.75,6.64,8/13/2024 0:30
21.75,6.66,8/13/2024 0:31
21.75,6.63,8/13/2024 0:32
21.75,6.65,8/13/2024 0:33
21.75,6.65,8/13/2024 0:33
21.75,6.65,8/13/2024 0:34
21.75,6.65,8/13/2024 0:35
21.75,6.64,8/13/2024 0:36
21.75,6.64,8/13/2024 0:37
21.75,6.65,8/13/2024 0:37
21.75,6.62,8/13/2024 0:38
21.69,6.64,8/13/2024 0:39
21.69,6.62,8/13/2024 0:40
21.69,6.66,8/13/2024 0:41
21.69,6.64,8/13/2024 0:42
21.69,6.64,8/13/2024 0:42
21.69,6.62,8/13/2024 0:43
21.69,6.64,8/13/2024 0:44
21.69,6.65,8/13/2024 0:45
21.69,6.65,8/13/2024 0:46
21.69,6.65,8/13/2024 0:46
21.69,6.62,8/13/2024 0:47
21.69,6.64,8/13/2024 0:48
21.69,6.61,8/13/2024 0:49
21.63,6.61,8/13/2024 0:50
21.69,6.64,8/13/2024 0:50
21.69,6.64,8/13/2024 0:51
21.63,6.66,8/13/2024 0:52
21.63,6.66,8/13/2024 0:53
21.63,6.62,8/13/2024 0:54
21.63,6.63,8/13/2024 0:55
21.63,6.65,8/13/2024 0:55
21.63,6.65,8/13/2024 0:56
21.69,6.64,8/13/2024 0:57
21.63,6.64,8/13/2024 0:58
21.69,6.65,8/13/2024 0:59
21.63,6.65,8/13/2024 0:59
21.63,6.62,8/13/2024 1:00
21.63,6.64,8/13/2024 1:01
21.63,6.65,8/13/2024 1:02
21.63,6.65,8/13/2024 1:03
21.63,6.64,8/13/2024 1:03
21.63,6.64,8/13/2024 1:04
21.63,6.62,8/13/2024 1:05
21.63,6.66,8/13/2024 1:06
21.63,6.64,8/13/2024 1:07
21.63,6.65,8/13/2024 1:08
21.63,6.61,8/13/2024 1:08
21.63,6.63,8/13/2024 1:09
21.63,6.65,8/13/2024 1:10
21.63,6.64,8/13/2024 1:11
21.56,6.66,8/13/2024 1:12
21.56,6.64,8/13/2024 1:12
21.56,6.64,8/13/2024 1:13
21.56,6.64,8/13/2024 1:14
21.56,6.64,8/13/2024 1:15
21.56,6.65,8/13/2024 1:16
21.56,6.64,8/13/2024 1:17
21.56,6.64,8/13/2024 1:17
21.56,6.64,8/13/2024 1:18
21.56,6.62,8/13/2024 1:19
21.56,6.65,8/13/2024 1:20
21.56,6.62,8/13/2024 1:21
21.56,6.65,8/13/2024 1:21
21.56,6.64,8/13/2024 1:22
21.5,6.62,8/13/2024 1:23
21.56,6.61,8/13/2024 1:25
21.56,6.65,8/13/2024 1:26
21.5,6.63,8/13/2024 1:26
21.5,6.64,8/13/2024 1:27
21.5,6.64,8/13/2024 1:28
21.5,6.65,8/13/2024 1:29
21.5,6.62,8/13/2024 1:30
21.56,6.62,8/13/2024 1:31
21.5,6.62,8/13/2024 1:31
21.5,6.64,8/13/2024 1:32
21.5,6.62,8/13/2024 1:33
21.56,6.64,8/13/2024 1:34
21.5,6.62,8/13/2024 1:35
21.5,6.65,8/13/2024 1:35
21.44,6.61,8/13/2024 1:36
21.5,6.63,8/13/2024 1:37
21.5,6.62,8/13/2024 1:38
21.5,6.62,8/13/2024 1:39
21.44,6.64,8/13/2024 1:40
21.44,6.62,8/13/2024 1:40
21.44,6.62,8/13/2024 1:41
21.44,6.64,8/13/2024 1:42
21.44,6.64,8/13/2024 1:43
21.44,6.62,8/13/2024 1:44
21.44,6.6,8/13/2024 1:44
21.44,6.62,8/13/2024 1:45
21.44,6.64,8/13/2024 1:46
21.44,6.6,8/13/2024 1:47
21.38,6.64,8/13/2024 1:48
21.44,6.62,8/13/2024 1:48
21.44,6.65,8/13/2024 1:49
21.44,6.62,8/13/2024 1:50
21.44,6.62,8/13/2024 1:51
21.44,6.65,8/13/2024 1:52
21.44,6.66,8/13/2024 1:53
21.44,6.61,8/13/2024 1:53
21.44,6.6,8/13/2024 1:54
21.38,6.61,8/13/2024 1:55
21.44,6.64,8/13/2024 1:56
21.38,6.63,8/13/2024 1:57
21.38,6.62,8/13/2024 1:57
21.44,6.62,8/13/2024 1:58
21.44,6.62,8/13/2024 1:59
21.44,6.64,8/13/2024 2:00
21.38,6.65,8/13/2024 2:01
21.38,6.62,8/13/2024 2:02
21.38,6.62,8/13/2024 2:02
21.38,6.64,8/13/2024 2:03
21.38,6.61,8/13/2024 2:04
21.38,6.61,8/13/2024 2:05
21.31,6.62,8/13/2024 2:06
21.31,6.62,8/13/2024 2:06
21.31,6.64,8/13/2024 2:07
21.31,6.61,8/13/2024 2:08
21.31,6.62,8/13/2024 2:09
21.31,6.62,8/13/2024 2:10
21.31,6.61,8/13/2024 2:10
21.25,6.62,8/13/2024 2:11
21.25,6.62,8/13/2024 2:12
21.31,6.64,8/13/2024 2:13
21.31,6.61,8/13/2024 2:14
21.25,6.64,8/13/2024 2:15
21.31,6.65,8/13/2024 2:15
21.25,6.62,8/13/2024 2:16
21.25,6.61,8/13/2024 2:17
21.31,6.64,8/13/2024 2:18
21.31,6.63,8/13/2024 2:19
21.25,6.6,8/13/2024 2:19
21.31,6.6,8/13/2024 2:20
21.25,6.6,8/13/2024 2:21
21.25,6.6,8/13/2024 2:22
21.31,6.62,8/13/2024 2:23
21.25,6.62,8/13/2024 2:24
21.31,6.61,8/13/2024 2:25
21.25,6.64,8/13/2024 2:26
21.25,6.61,8/13/2024 2:27
21.25,6.65,8/13/2024 2:28
21.25,6.61,8/13/2024 2:29
21.25,6.61,8/13/2024 2:29
21.25,6.62,8/13/2024 2:30
21.25,6.62,8/13/2024 2:31
21.25,6.61,8/13/2024 2:32
21.25,6.62,8/13/2024 2:33
21.25,6.63,8/13/2024 2:33
21.19,6.61,8/13/2024 2:34
21.19,6.64,8/13/2024 2:35
21.19,6.61,8/13/2024 2:36
21.19,6.66,8/13/2024 2:37
21.19,6.63,8/13/2024 2:37
21.19,6.64,8/13/2024 2:38
21.19,6.61,8/13/2024 2:39
21.19,6.64,8/13/2024 2:40
21.19,6.61,8/13/2024 2:41
21.19,6.62,8/13/2024 2:42
21.25,6.61,8/13/2024 2:42
21.19,6.6,8/13/2024 2:43
21.19,6.64,8/13/2024 2:44
21.19,6.64,8/13/2024 2:45
21.19,6.61,8/13/2024 2:46
21.19,6.61,8/13/2024 2:46
21.19,6.61,8/13/2024 2:47
21.19,6.62,8/13/2024 2:48
21.19,6.63,8/13/2024 2:49
21.19,6.62,8/13/2024 2:50
21.19,6.6,8/13/2024 2:51
21.19,6.61,8/13/2024 2:51
21.19,6.62,8/13/2024 2:52
21.19,6.62,8/13/2024 2:53
21.19,6.62,8/13/2024 2:54
21.19,6.61,8/13/2024 2:55
21.13,6.61,8/13/2024 2:55
21.13,6.61,8/13/2024 2:56
21.19,6.61,8/13/2024 2:57
21.13,6.6,8/13/2024 2:58
21.19,6.62,8/13/2024 2:59
21.13,6.6,8/13/2024 2:59
21.13,6.61,8/13/2024 3:00
21.13,6.61,8/13/2024 3:01
21.13,6.62,8/13/2024 3:02
21.13,6.62,8/13/2024 3:03
21.13,6.62,8/13/2024 3:04
21.13,6.6,8/13/2024 3:04
21.06,6.62,8/13/2024 3:05
21.13,6.61,8/13/2024 3:06
21.13,6.62,8/13/2024 3:07
21.13,6.62,8/13/2024 3:08
21.13,6.61,8/13/2024 3:08
21.13,6.61,8/13/2024 3:09
21.06,6.61,8/13/2024 3:10
21.06,6.59,8/13/2024 3:11
21.06,6.6,8/13/2024 3:12
21.06,6.61,8/13/2024 3:13
21.06,6.61,8/13/2024 3:13
21.06,6.6,8/13/2024 3:14
21.06,6.6,8/13/2024 3:16
21.13,6.62,8/13/2024 3:17
21.13,6.61,8/13/2024 3:18
21.06,6.61,8/13/2024 3:18
21.13,6.61,8/13/2024 3:19
21.06,6.62,8/13/2024 3:20
21.06,6.61,8/13/2024 3:21
21.06,6.61,8/13/2024 3:22
21.06,6.57,8/13/2024 3:22
21.06,6.62,8/13/2024 3:23
21.06,6.6,8/13/2024 3:24
21,6.59,8/13/2024 3:25
21.06,6.59,8/13/2024 3:26
21.06,6.62,8/13/2024 3:27
21.06,6.61,8/13/2024 3:27
21,6.6,8/13/2024 3:28
21.06,6.61,8/13/2024 3:29
21.06,6.6,8/13/2024 3:30
21,6.62,8/13/2024 3:31
21.06,6.62,8/13/2024 3:31
21.06,6.61,8/13/2024 3:32
21.06,6.6,8/13/2024 3:33
21,6.62,8/13/2024 3:34
21,6.61,8/13/2024 3:35
21,6.61,8/13/2024 3:35
21,6.64,8/13/2024 3:36
21,6.6,8/13/2024 3:37
21,6.61,8/13/2024 3:38
21,6.59,8/13/2024 3:39
21,6.62,8/13/2024 3:40
21,6.6,8/13/2024 3:40
21,6.61,8/13/2024 3:41
21,6.57,8/13/2024 3:42
21,6.6,8/13/2024 3:43
21,6.61,8/13/2024 3:44
21,6.61,8/13/2024 3:44
21,6.59,8/13/2024 3:45
21,6.57,8/13/2024 3:46
21,6.59,8/13/2024 3:47
20.94,6.59,8/13/2024 3:48
20.94,6.57,8/13/2024 3:48
20.94,6.61,8/13/2024 3:49
20.94,6.61,8/13/2024 3:50
20.94,6.61,8/13/2024 3:51
20.94,6.59,8/13/2024 3:52
20.94,6.6,8/13/2024 3:53
20.94,6.61,8/13/2024 3:53
20.94,6.6,8/13/2024 3:54
20.88,6.6,8/13/2024 3:55
20.94,6.6,8/13/2024 3:56
20.88,6.57,8/13/2024 3:57
20.94,6.6,8/13/2024 3:57
20.94,6.61,8/13/2024 3:58
20.94,6.61,8/13/2024 3:59
20.94,6.61,8/13/2024 4:00
20.94,6.6,8/13/2024 4:01
20.94,6.6,8/13/2024 4:02
20.94,6.61,8/13/2024 4:02
20.94,6.59,8/13/2024 4:03
20.88,6.6,8/13/2024 4:04
20.88,6.61,8/13/2024 4:05
20.94,6.6,8/13/2024 4:06
20.88,6.59,8/13/2024 4:06
20.94,6.6,8/13/2024 4:07
20.88,6.6,8/13/2024 4:08
20.88,6.59,8/13/2024 4:09
20.88,6.6,8/13/2024 4:10
20.81,6.6,8/13/2024 4:10
20.88,6.6,8/13/2024 4:11
20.81,6.6,8/13/2024 4:12
20.88,6.59,8/13/2024 4:13
20.88,6.61,8/13/2024 4:14
20.94,6.61,8/13/2024 4:15
20.88,6.57,8/13/2024 4:15
20.88,6.6,8/13/2024 4:16
20.88,6.59,8/13/2024 4:17
20.81,6.6,8/13/2024 4:18
20.88,6.62,8/13/2024 4:19
20.88,6.62,8/13/2024 4:19
20.88,6.59,8/13/2024 4:20
20.81,6.6,8/13/2024 4:21
20.88,6.6,8/13/2024 4:22
20.88,6.6,8/13/2024 4:23
20.81,6.57,8/13/2024 4:23
20.88,6.59,8/13/2024 4:24
20.81,6.61,8/13/2024 4:25
20.81,6.59,8/13/2024 4:26
20.81,6.59,8/13/2024 4:27
20.81,6.62,8/13/2024 4:28
20.88,6.57,8/13/2024 4:28
20.81,6.59,8/13/2024 4:29
20.75,6.57,8/13/2024 4:30
20.81,6.59,8/13/2024 4:31
20.81,6.61,8/13/2024 4:32
20.81,6.6,8/13/2024 4:32
20.75,6.6,8/13/2024 4:33
20.81,6.6,8/13/2024 4:34
20.81,6.59,8/13/2024 4:35
20.75,6.61,8/13/2024 4:36
20.81,6.6,8/13/2024 4:37
20.81,6.6,8/13/2024 4:37
20.75,6.6,8/13/2024 4:38
20.75,6.6,8/13/2024 4:39
20.75,6.57,8/13/2024 4:40
20.75,6.61,8/13/2024 4:41
20.75,6.59,8/13/2024 4:41
20.75,6.59,8/13/2024 4:42
20.69,6.59,8/13/2024 4:43
20.75,6.57,8/13/2024 4:44
20.75,6.6,8/13/2024 4:45
20.75,6.57,8/13/2024 4:45
20.69,6.57,8/13/2024 4:46
20.69,6.6,8/13/2024 4:47
20.75,6.6,8/13/2024 4:48
20.75,6.6,8/13/2024 4:49
20.75,6.6,8/13/2024 4:50
20.75,6.6,8/13/2024 4:51
20.75,6.57,8/13/2024 4:52
20.75,6.6,8/13/2024 4:53
20.75,6.6,8/13/2024 4:54
20.75,6.59,8/13/2024 4:55
20.75,6.57,8/13/2024 4:55
20.75,6.59,8/13/2024 4:56
20.75,6.6,8/13/2024 4:57
20.75,6.59,8/13/2024 4:58
20.69,6.57,8/13/2024 4:59
20.69,6.57,8/13/2024 4:59
20.69,6.57,8/13/2024 5:00
20.69,6.57,8/13/2024 5:01
20.75,6.59,8/13/2024 5:02
20.75,6.61,8/13/2024 5:03
20.63,6.59,8/13/2024 5:04
20.69,6.6,8/13/2024 5:04
20.69,6.57,8/13/2024 5:05
20.69,6.59,8/13/2024 5:06
20.63,6.6,8/13/2024 5:07
20.63,6.57,8/13/2024 5:08
20.63,6.59,8/13/2024 5:08
20.69,6.57,8/13/2024 5:09
20.63,6.59,8/13/2024 5:10
20.69,6.57,8/13/2024 5:11
20.63,6.57,8/13/2024 5:12
20.69,6.57,8/13/2024 5:12
20.69,6.6,8/13/2024 5:13
20.63,6.6,8/13/2024 5:14
20.69,6.62,8/13/2024 5:15
20.63,6.57,8/13/2024 5:16
20.63,6.57,8/13/2024 5:17
20.69,6.59,8/13/2024 5:17
20.63,6.6,8/13/2024 5:18
20.69,6.61,8/13/2024 5:19
20.69,6.61,8/13/2024 5:20
20.69,6.57,8/13/2024 5:21
20.63,6.59,8/13/2024 5:21
20.69,6.61,8/13/2024 5:22
20.63,6.59,8/13/2024 5:23
20.63,6.59,8/13/2024 5:24
20.69,6.57,8/13/2024 5:25
20.63,6.61,8/13/2024 5:26
20.63,6.6,8/13/2024 5:26
20.63,6.59,8/13/2024 5:27
20.63,6.59,8/13/2024 5:28
20.63,6.59,8/13/2024 5:29
20.63,6.59,8/13/2024 5:30
20.63,6.59,8/13/2024 5:30
20.56,6.57,8/13/2024 5:31
20.56,6.57,8/13/2024 5:32
20.56,6.57,8/13/2024 5:33
20.56,6.59,8/13/2024 5:34
20.56,6.61,8/13/2024 5:34
20.63,6.6,8/13/2024 5:35
20.56,6.57,8/13/2024 5:36
20.56,6.59,8/13/2024 5:37
20.63,6.59,8/13/2024 5:38
20.56,6.59,8/13/2024 5:39
20.63,6.6,8/13/2024 5:40
20.56,6.59,8/13/2024 5:40
20.56,6.56,8/13/2024 5:41
20.56,6.59,8/13/2024 5:42
20.56,6.57,8/13/2024 5:43
20.56,6.57,8/13/2024 5:44
20.56,6.57,8/13/2024 5:45
20.56,6.59,8/13/2024 5:45
20.56,6.57,8/13/2024 5:46
20.56,6.6,8/13/2024 5:47
20.63,6.57,8/13/2024 5:48
20.56,6.59,8/13/2024 5:50
20.63,6.57,8/13/2024 5:50
20.56,6.57,8/13/2024 5:51
20.56,6.57,8/13/2024 5:52
20.56,6.59,8/13/2024 5:53
20.56,6.59,8/13/2024 5:54
20.56,6.57,8/13/2024 5:54
20.56,6.56,8/13/2024 5:55
20.56,6.57,8/13/2024 5:56
20.56,6.59,8/13/2024 5:57
20.5,6.59,8/13/2024 5:58
20.56,6.59,8/13/2024 5:58
20.5,6.57,8/13/2024 5:59
20.56,6.61,8/13/2024 6:00
20.5,6.59,8/13/2024 6:01
20.56,6.6,8/13/2024 6:02
20.56,6.59,8/13/2024 6:03
20.5,6.59,8/13/2024 6:03
20.5,6.57,8/13/2024 6:04
20.5,6.57,8/13/2024 6:05
20.5,6.6,8/13/2024 6:06
20.5,6.56,8/13/2024 6:07
20.44,6.57,8/13/2024 6:07
20.5,6.57,8/13/2024 6:08
20.56,6.56,8/13/2024 6:09
20.5,6.57,8/13/2024 6:10
20.5,6.56,8/13/2024 6:11
20.44,6.57,8/13/2024 6:12
20.5,6.59,8/13/2024 6:12
20.5,6.57,8/13/2024 6:13
20.5,6.57,8/13/2024 6:14
20.56,6.57,8/13/2024 6:15
20.5,6.57,8/13/2024 6:16
20.5,6.57,8/13/2024 6:16
20.5,6.56,8/13/2024 6:17
20.5,6.57,8/13/2024 6:18
20.5,6.57,8/13/2024 6:19
20.5,6.57,8/13/2024 6:20
20.5,6.59,8/13/2024 6:20
20.5,6.56,8/13/2024 6:21
20.5,6.57,8/13/2024 6:22
